Центральный офис                   ;MOCO
"ДО ""БУЛЬВАР ДМИТРИЯ ДОНСКОГО""      ";MOWF
"ДО ""АННИНО""                        ";MOXJ
"ДО ""Улица Бухарестская""            ";PTBU
"ОО ""Псковский""                     ";PTPS
"ККО ""САРАНСКИЙ""                    ";MOWG
"ДО ""БУТОВО""                        ";MOXK
"ККО ""ПСКОВ-ЛЕТНИЙ САД""             ";MOXL
"ДО ""АТЛАНТИС""                      ";MOWH
Технический ДК                     ;UCHZ
"ККО ""ВЛАДИВОСТОК-ТИХООКЕАНСКИЙ""    ";MOXN
"ККО ""АЧИНСК-ПК-ЧУЛЫМ""              ";MOWJ
"ККО ""ПРОКОПЬЕВСК-ПК-УГОЛЬНЫЙ""      ";MOXM
"ККО ""КРАСНОДАР-КАРАСУНСКИЙ""        ";MOWI
"ДО ""Улица Ворошилова""              ";XBVR
"ОО ""Парк Гагарина""                 ";NVPG
"ДО ""ТИМИРЯЗЕВСКАЯ""                 ";MOWK
"ДО ""НИКА МОТОРС КОЛОМЕНСКОЕ 2""     ";MOWL
"ДО ""НИКА МОТОРС ОТРАДНОЕ""          ";MOXO
"ДО ""ТОЙОТА ЦЕНТР ЛЕВОБЕРЕЖНЫЙ""     ";MOXP
"ОО ""Улица Некрасовская""            ";XBNE
"ОО ""Казачий""                       ";ROKZ
"ККО ""ЕКАТЕРИНБУРГ-БИРЮЗОВЫЙ""       ";MOYO
"ДО ""Улица Яблочкова""               ";MOXQ
"ДО ""Приборостроительный""           ";NVPT
"ККО ""ВОЛГОГРАД-ПК-КРАСНЫЙ ОКТЯБРЬ"" ";MOYQ
"ДО ""Основинский""                   ";EKOS
"ККО ""ТВЕРЬ-ТВЕРСКОЙ ПРОСПЕКТ""      ";MOXS
"ДО ""КАХОВСКАЯ""                     ";MOYS
"ДО ""НОВОКОСИНСКИЙ""                 ";MOXT
"ДО ""ЮЖНАЯ""                         ";MOYT
"ККО ""САНКТ-ПЕТЕРБУРГ-УЛИЦА ДЫБЕНКО""";MOXU
"ДО ""Парк Есенина""                  ";PTPE
"ОО ""Железнодорожный""               ";NZZH
ДО НОСОВИХИНСКОЕ ШОССЕ             ;MOYV
"ОО ""Городской сад""                 ";MOYW
"ДО ""УЛИЦА АЗОВСКАЯ""                ";MOXV
"ККО ""САНКТ-ПЕТЕРБУРГ-ПАРК ПОБЕДЫ""  ";MOA1
"ККО ""ИЖЕВСК-ПК-УЛИЦА УДМУРТСКАЯ""   ";MOXW
"ДО ""УЛИЦА СУМСКАЯ""                 ";MOA2
"ДО ""ПОХОДНЫЙ ПРОЕЗД""               ";MOA4
"ДО ""РУНОВСКИЙ""                     ";MOA5
"ДО ""ОКТЯБРЬСКОЕ ПОЛЕ""              ";MOA6
"ДО ""ВОЙКОВСКАЯ""                    ";MOA7
"ДО ""Улица Народного Ополчения""     ";MOA8
"ДО ""СВИБЛОВО""                      ";MOA9
"ККО ""САМАРА-СОВРЕМЕННИК""           ";MOA0
"ДО ""УЛИЦА СНЕЖНАЯ""                 ";MOB0
"ОО ""Бурановский""                   ";NZUR
"ККО ""Магнитогорск-ПК-Капитал""      ";MOB1
"ДО ""РОЛЬФ ХИМКИ""                   ";MOB2
"ОО ""Улица Советской Армии""         ";NZSV
"ДО ""Улица Радиаторская""            ";MOB3
"ДО ""Улица Бассейная""               ";PTBS
Процессинговый Центр               ;MOB4
"ОО ""КЛЮЧАВТО КРЫЛАТАЯ 12""          ";ROKL
"ККО ""ТЮМЕНЬ-ЖЕМЧУЖИНА СИБИРИ""      ";MOB5
"Кредитно-кассовый офис ""ВЯТКА""     ";MOB6
"ОО ""Улица Пермякова""               ";EKPE
"ДО ""ФИЛИ""                          ";MOB7
"ДО ""Петроградский""                 ";PTPT
"ККО ""ТЮМЕНЬ-ПК-ЕВРОПЕЙСКИЙ""        ";MOB8
"ДО ""УЛИЦА ТУЧКОВСКАЯ""              ";MOC0
"ККО ""КАЛУГА-УЛИЦА КИРОВА""          ";MOC2
"ККО ""ТЮМЕНЬ-ПК-ЯМСКАЯ""             ";MOB9
"ККО ""УФА-ПК-ТОЛПАР""                ";MOC3
"ОО ""Заречный""                      ";EKZR
"ОО ""Калужский""                     ";MOC4
"ОО ""Бульвар Славы""                 ";NZBL
"ККО ""ЯКУТСК-ПК-СТЕРХ""              ";MOC5
"ККО ""КРАСНОЯРСК-ПК-9 МАЯ""          ";MOC6
"ККО ""КРАСНОЯРСК-ПК-ОРБИТА""         ";MOC7
ККО КРАСНОЯРСК-ПК-ПАРТИЗАНА ЖЕЛЕЗН ;MOC8
"ДО ""ЛАУРА ОЗЕРКИ""                  ";PTLO
"ККО ""СМОЛЕНСКИЙ""                   ";MOC9
"ОО ""ТТС Рубежная""                  ";NZRU
"ККО ""КАЗАНЬ-ПК-АВИАСТРОИТЕЛЬНЫЙ""   ";MOD0
"ККО ""ЗЛАТОУСТ-ПК-ТАГАНАЙ""          ";MOD2
"ОО ""Авиагородок""                   ";NVAG
"ОО ""Планета""                       ";NVPL
"ККО ""ЙОШКАР-ОЛА-ПК-НОВОПОКРОВСКАЯ"" ";MOD3
"ККО ""ОРЕЛ""                         ";MOD4
"ККО ""УЛАН-УДЭ""                     ";MOD5
"ОО ""Красномосковский""              ";NVMS
"ДО ""А-КЛУБ ВОРОНЦОВСКИЕ ПРУДЫ""     ";MOD6
"ДО ""ФАВОРИТ МОТОРС ТОМИЛИНО""       ";MOD7
"ККО ""САНКТ-ПЕТЕРБУРГ-ЛАХТИНСКИЙ РАЗ";MOD8
"ККО ""САРАНСК-ПК-УШАКОВСКИЙ""        ";MOD9
"ККО ""СЫЗРАНЬ-ПК-СПАССКИЙ""          ";MOE2
"ДО ""РАМЕНКИ""                       ";MOE3
"ДО ""ФАВОРИТ МОТОРС КОПТЕВСКАЯ""     ";MOE4
"ККО ""Сыктывкарский""                ";MOE6
"ККО ""Березники""                    ";MOE5
"ККО ""Тюмень-ПК-Калининский         ";MOE7
"ККО ""НОВОСИБИРСК-ВОЗНЕСЕНСКИЙ""     ";MOE8
"ОО ""Проспект Ямашева""              ";NZYA
"ДО ""ФАВОРИТ МОТОРС КОПТЕВСКАЯ 2""   ";MOF2
ФАВОРИТ МОТОРС ЛЕНИНСКИЙ ПРОСПЕКТ  ;MOE9
"ККО ""САМАРА-ББ-УЛИЦА ГОРЬКОГО""     ";MOF3
"ККО ""САМАРА-ББ-УЛИЦА ВЛАДИМИРСКАЯ"" ";MOF4
"ККО ""САМАРА-ББ-ПРОСПЕКТ КИРОВА""    ";MOF5
"ККО ""НИЖНИЙ НОВГОРОД-ББ-ПЛ. ЛЯДОВА""";MOF6
"ККО ""ГУКОВО-ПК-УЛИЦА ШАХТЕРСКАЯ""   ";MOF7
"ДО ""МОСКВА-ББ-РОЖДЕСТВЕНКА""        ";MOF8
"ККО ""ХАБАРОВСК-ББ-УТЕС""            ";MOF9
"ККО ""ХАБАРОВСК-ББ-УЛИЦА ТУРГЕНЕВА"" ";MOG2
"ККО ""НОВОСИБИРСК-ББ-УЛИЦА КРЫЛОВА"" ";MOG3
"ККО ""ПЕРМЬ-ББ-УЛ.ЛУНАЧАРСКОГО""     ";MOG4
"ККО ""ПЕРМЬ-ББ-ЗАКАМСКИЙ""           ";MOG5
ККО ИРКУТСК-ББ-ДЕКАБРЬСКИХ СОБЫТИЙ ;MOG6
"ККО ""ВОРОНЕЖ-ББ-УЛИЦА НЕВСКОГО""    ";MOG7
ККО ВОРОНЕЖ-ББ-УЛИЦА 20-ЛЕТИЯ ВЛКСМ;MOG8
ККО ОМСК-ББ- УЛ МАРШАЛА ЖУКОВА     ;MOG9
"ККО ""ЧЕЛЯБИНСК-ББ-УЛИЦА КОММУНЫ""   ";MOH2
"ККО ""ЧЕЛЯБИНСК-ББ-УЛИЦА ЧИЧЕРИНА""  ";MOH3
"ККО ""БАЛАКОВО-ПК-АТОМ""             ";MOH4
ККО Сосновый Бор-ББ-УЛИЦА СОЛНЕЧНАЯ;MOH5
Отделение OCRM ДПиВП               ;MOH6
"ОО ""Малахит""                       ";NZML
Сыктывкар-ПК-Вычегда               ;MOH7
"ДО ""ОКТЯБРЬСКИЙ ПРОСПЕКТ""          ";MOH8
ККО ЯРОСЛАВЛЬ-ББ-УЛИЦА ГАГАРИНА    ;MOH9
ККО ЯРОСЛАВЛЬ-ББ-УЛИЦА ТРЕФОЛЕВА   ;MOI2
"ККО ""АРХАНГЕЛЬСК-ББ-ЛОМОНОСОВА""    ";MOI3
ВОЛГОГРАД-ББ-НЕВСКАЯ               ;MOI4
РОСТОВ-НА-ДОНУ-ББ-БУЛЬВАР КОМАРОВА ;MOI5
САРАТОВ - ББ - УЛИЦА ЧЕРНЫШЕВСКОГО ;MOI6
РОСТОВ-НА-ДОНУ-ББ-40 ЛЕТ ПОБЕДЫ    ;MOI7
Ростов-на-Дону-ББ-Днепропетровская ;MOI8
Ростов-на-Дону-ББ-Площадь Рабочая  ;MOI9
"ОО ""Проспект Культуры""             ";NVKL
"ККО ""АЛЬФА PRIVATE НИЖНИЙ НОВГОРОД""";MOJ2
"ККО ""КУРСК-ББ-УЛИЦА НИКИТСКАЯ""     ";MOJ3
"ДО ""УЛИЦА ФЕВРАЛЬСКАЯ""             ";MOJ4
РОСТОВ-НА-ДОНУ-ББ-ПРОСПЕКТ ЧЕХОВА  ;MOJ5
"ККО ""САРАТОВ-ББ-УЛИЦА СОБОРНАЯ""    ";MOJ6
"ККО ""ЭНГЕЛЬС-ББ-ПЛОЩАДЬ СВОБОДЫ""   ";MOJ7
"ДО ""ПРОЛЕТАРСКАЯ""                  ";MOJ8
"ДО ""ОПТИМУМ АВТО АЛТУФЬЕВСКИЙ""     ";MOJ9
"ДО ""Ржевка""                        ";PTRJ
"ДО ""Улица Верности""                ";PTVR
"ДО ""КРУТИЦКИЙ ПЕРЕУЛОК""            ";MOK2
"ДО ""Черная речка""                  ";PTCH
"ККО ""ИРКУТСК-ТС-УЛИЦА-ТРАКТОВАЯ""   ";MOK3
"ККО ""УФА-ТС-УЛИЦА МЕНДЕЛЕЕВА""      ";MOK4
"ККО ""УССУРИЙСК-ПК-ИЗУМРУДНАЯ ДОЛИНА";MOK5
ККО ТВЕРЬ-ББ-ПРОСПЕКТ ПОБЕДЫ       ;MOK6
"ДО ""АВИЛОН ВОЗДВИЖЕНКА""            ";MOK8
"ДО ""ПЯЛОВСКИЙ 3""                   ";MOK7
"ДО ""НОВОРИЖСКИЙ""                   ";MOK9
"ККО ""ВОРОНЕЖ-ББ-УЛИЦА ЛИЗЮКОВА""    ";MOL2
"ОО ""Улица Владимира Невского""      ";MOL3
"ДО ""Площадь Труда""                 ";NVTR
"ОО ""Карелия""                       ";PTKA
"ДО ""КАР АВТО НОВОСИБИРСК""          ";NVKA
"ОО ""Оборонный""                     ";MOL5
"ДО ""ЛСР Недвижимость Автозаводская""";MOL4
"ДО ""САВЕЛОВСКИЙ""                   ";MOL6
"ДО""АВИЛОН ВОЛГОГРАДСКИЙ ПРОСПЕКТ 2""";MOL8
АВИЛОН ВОЛГОГРАДСКИЙ ПРОСПЕКТ 1    ;MOL7
"ККО ""ПЕРМЬ-ББ-ЗАКАМСК""             ";MOL9
"ОО ""Сапфир""                        ";NZSP
"ОО ""Есенинский""                    ";MON2
"ОО ""Нефрит""                        ";NVNE
"ДО ""НИЖНЯЯ 9""                      ";MON3
"ДО ""ТРОПАРЕВО""                     ";MON4
"ДО ""РУМЯНЦЕВО""                     ";MON5
Филиал Ростовский V                ;ROVR
"ДО ""ОПТИМУМ АВТО ПАВЕЛЕЦКАЯ""       ";MON6
"ККО ""КРАСНОДАР-МАГНОЛИЯ""           ";MON7
"ОО ""Знатный""                       ";ROZN
"ДО ""Улица Гаккелевская""            ";PTGK
"ККО ""САНКТ-ПЕТЕРБУРГ-ББ-ДУНАЙСКИЙ П";MOO2
"ККО ""ТВЕРЬ-ЖЕЛЯБОВА""               ";MON9
"ККО ""ТВЕРЬ-МОЖАЙСКИЙ""              ";MON8
"ККО ""САНКТ-ПЕТЕРБУРГ-ББ-ДАЧНЫЙ ПРОС";MOO3
ККО Санкт-Петербург-Улица Савушкина;MOO4
"ККО ""АРХАНГЕЛЬСК-ББ-ПОМОРСКИЙ""     ";MOO5
"ДО ""УЛИЦА ДОЛГОРУКОВСКАЯ""          ";MOO6
"ДО ""ТОЛМАЧЕВСКИЙ""                  ";MOO7
"ККО ""САНКТ-ПЕТЕРБУРГ-ББ-МУЧНОЙ ПЕРЕ";MOO8
"ОО ""СЛАВНЫЙ""                       ";MOO9
"ККО ""САНКТ-ПЕТЕРБУРГ-ББ-УЛИЦА ХОШИМ";MOP2
"ДО ""ДИНАМО""                        ";MOP3
"ККО ""БЕЛГОРОД-ПК-ВАТУТИНА""         ";MOV0
"ОО ""ТП ИВАНОВО"" АО ""АЛЬФА-БАНК""    ";MOI0
ККО Санкт-Петербург-Проспект Настав;MOP4
"ККО ""САНКТ-ПЕТЕРБУРГ-ББ-УЛИЦА БУДАП";MOP5
"ДО ""ЛУБЯНКА""                       ";MOL1
ДО ПРОСПЕКТ ВЕТЕРАНОВ              ;PTVT
"ДО ""ТЕХНОПАРК""                     ";MOT0
ОПЕРАЦИОННЫЙ ОФИС ПАРУС            ;ROPR
ДО Апраксин переулок               ;PTAP
Техническое отделение АЛБО         ;ALBO
"ОО ""СОБИНОВСКИЙ""                   ";MOS0
МУРМАНСК-ББ-ЧЕЛЮСКИНЦЕВ            ;MOP6
"ККО ""ПСКОВ-РИЖСКИЙ ПРОСПЕКТ""       ";MOP7
МУРМАНСК-ББ-АРКТИЧЕСКИЙ            ;MOP8
Балт. Банк 1                       ;BBP2
Балт. Банк 2                       ;BBP3
Отдел УОиКД                        ;MOP9
"Ф-л ""Санкт-Петербургский"" (вирт.)  ";PTVU
"ДО ""Автомир. Ярославка""            ";MOQ2
"Ф-л ""Нижегородский"" (вирт.)        ";NZNZ
"ДО ""ВЕРХ-ИСЕТСКИЙ""                 ";EKVI
"Ф-л ""Хабаровский"" (вирт.)          ";XBXB
"Ф-л ""Екатеринбургский"" (вирт.)     ";EKVR
"Ф-л ""Новосибирский"" (вирт.)        ";NVVR
"Ф-л ""Ставропольский"" (вирт.)       ";STVR
Санкт-Петербург-Академпарк         ;MOQ3
"ККО ""Тольяттинский КС-1""           ";MOT2
"ККО ""РОСТОВ-НА-ДОНУ-КИРОВСКИЙ""     ";MOR0
"ККО ""Самарский КС-1""               ";MOS2
ККО САНКТ-ПЕТЕРБУРГ-УЛИЦА БОЛЬШАЯ З;MOM2
ККО СПб-Угольная Гавань            ;MOM3
"ДО ""СЕВЕН САНС""                    ";PTSE
"KKO ""ПЕТРОЗАВОДСК-УЛИЦА РОВИО""     ";MOM4
"ККО ""Нижегородский КС-1""           ";MOM5
"ДО  ""ПЕЛИКАН-АВТО 1""               ";MOM6
"ДО  ""ПЕЛИКАН-АВТО 2""               ";MOM7
"ДО  ""ПЕЛИКАН-АВТО 3""               ";MOM8
"ДО  ""ПЕЛИКАН-АВТО ДМИТРОВКА""       ";MOM9
"ДО ""КРОНОС""                        ";NVHR
Группа оперативной поддержки       ;MOQ6
Отдел поддержки ККО                ;MOQ7
"ККО ""АЛЬФА PRIVATE РОСТОВ-НА-ДОНУ"" ";MOQ8
"ДО ""АВТОМИР-ХИМКИ""                 ";MOQ5
"ДО ""НЕЗАВИСИМОСТЬ. МАРКСИСТСКАЯ""   ";MOQ9
"АО ""АЛЬФА-БАНК"" 36                 ";WA86
"АО ""АЛЬФА-БАНК"" 37                 ";WA87
"АО ""АЛЬФА-БАНК"" 38                 ";WA88
"АО ""АЛЬФА-БАНК"" 39                 ";WA89
"АО ""АЛЬФА-БАНК"" 40                 ";WA90
"АО ""АЛЬФА-БАНК"" 41                 ";WA91
"АО ""АЛЬФА-БАНК"" 42                 ";WA92
"АО ""АЛЬФА-БАНК"" 43                 ";WA93
"АО ""АЛЬФА-БАНК"" 44                 ";WA94
"АО ""АЛЬФА-БАНК"" 45                 ";WA95
"ДО ""СТАРОМОНЕТНЫЙ""                 ";MOR3
"ДО ""Теплый Стан""                   ";MOR2
"ККО ""КРОНШТАДТ""                    ";MOR4
"ОО ""Тойота-Центр Воронеж 2""        ";MOR5
ДО Улица Яхтенная                  ;PTYA
Группа оперативной поддержки       ;MOR6
"ДО ""ЛЕКСУС. ЛОСИНЫЙ ОСТРОВ""        ";MOR7
"ДО ""ЛЕКСУС. КАШИРСКИЙ""             ";MOR8
"ДО ""ЛЕКСУС. ЛЕВОБЕРЕЖНЫЙ""          ";MOR9
"ДО ""ЛЕКСУС. РУБЛЕВСКИЙ""            ";MOS3
"ОО ""Тверской""                      ";MOS4
Оперативная поддержка г.Челябинск  ;MOS5
"ОО ""КЦ-Краснодар""                  ";ROKC
"Операционный офис ""КЦ-Саратов""     ";NZKS
"Операционный офис ""Тольятти""       ";NZTT
Оперативная поддержка г.Красноярск ;MOS6
Оперативная поддержка Н.Новгород   ;MOS8
Группа ОП в г.Екатеринбурге        ;MOS9
"ДО ""УЛИЦА ПЕРЕРВА""                 ";MOS7
"ДО ""АКАДЕМИКА САХАРОВА""            ";MOT3
Оперативная поддержка в г.Казань   ;MOT4
"ДО ""Аквилон""                       ";PTAK
Санкт-Петербург-Обводный канал     ;MOT5
КАЛАНЧЕВСКАЯ                       ;MOT6
"ДО ""МЯЧКОВСКИЙ БУЛЬВАР""            ";MOT7
Выездной ВИП менеджер в г.Москва   ;MOT8
Выездной ВИП менеджер в г. СПБ     ;MOT9
Дистанционный ФК в г. Москва       ;MOU2
Дистанционный ФК в г. С-Петербург  ;MOU3
Выздной ВИП менеджер в г. Казань   ;MOU4
Выздной ВИП менеджер в г.НН        ;MOU5
Выздной ВИП мен в г.Новосибрск     ;MOU6
ДО Новомосковский                  ;PTNM
Выздной ВИП-м в г.Ростов-на-Дону   ;MOU8
Выздной ВИП менеджер в г.Тюмень    ;MOU9
Выздной ВИП менеджер в г.Пермь     ;MOV2
Выздной ВИП менеджер в г.Волгоград ;MOV4
Выздной ВИП менеджер в г.Уфа       ;MOV5
Выздной ВИП-м в г.Владивосток      ;MOV3
"ККО ""НОВОСИБИРСК-НАУЧНЫЙ""          ";MOU7
"ДО ""МОСКВА-ЦПБ""                    ";MOV6
"ККО ""САНКТ-ПЕТЕРБУРГ-ЦПБ""          ";MOV7
"ДО ""КАРТАРГЕТ. ЗАРЕЧЬЕ""            ";MOV8
КРАСНОДАР-ПРЕМИУМ                  ;MOV9
"ОО ""ПРОМСТРОЙ""                     ";NVIC
ДО Павелецкий                      ;MOW2
ДО Улица Валовая                   ;MOW3
КРАСНОДАР-УЛИЦА КРАСНЫХ ПАРТИЗАН   ;MOW4
"ДО ""Скобелевская""                  ";MOE1
"ОО ""Раздольный""                    ";RORD
Группа опер. поддержки в г.Самаре  ;MOV1
Оперативная поддержка в г.Краснодар;MOU1
"ДО ""АЙСБЕРГ""                       ";MOX2
"ДО ""Бульвар Адмирала Ушакова""      ";MOX4
"ДО ""ПОДМОСКОВНЫЙ""                  ";MOX3
"ДО ""АВИЛОН 53 КМ"" в г. Москва      ";MOW5
"ДО""АВИЛОНВОЛГОГРАДСКИЙПРОСПЕКТ3""   ";MOW6
"ДО""АВИЛОНВОЛГОГРАДСКИЙ ПРОСПЕКТ5""  ";MOW9
СПб-Андреевский бульвар            ;MOX8
"ДО ""Московский ЛС-2""               ";MOX9
"ОО ""Губернский""                    ";NVGU
"ОО ""ТТС ОРЕНБУРГ""                  ";NZOB
"ДО ""ОПТИМУМ АВТО ЛИАНОЗОВСКИЙ""     ";MOY2
ЦЕНТР КРУПНЫХ КОРПОР. КЛИЕНТОВ     ;MOY3
ДО  МОСКОВСКИЙ ЛС-3џ в г. Люберцы  ;MOY4
"ККО ""Екатеринбургский ЛС-1""        ";MOY7
"ККО ""Екатеринбургский ЛС-2""        ";MOY9
"ДО ""Московский ЛС-4""               ";MOY6
"ДО ""Московский ЛС-5""               ";MOZ2
"ДО ""АБСОЛЮТ НЕДВИЖИМОСТЬ""          ";MOY8
Отдел ДВП                          ;MOZ3
"ККО ""Казанский ЛС-1""               ";MOZ4
"ККО ""Екатеринбургский ЛС-3""        ";MOZ5
"ККО ""Екатеринбургский ЛС-4""        ";MOZ6
"ККО ""Казанский ЛС-2""               ";MOZ7
"ККО ""Казанский ЛС-3""               ";MOZ8
"ККО ""Казанский ЛС-4""               ";MOWS
Группа опер. поддержки в г.Уфа     ;MOZ9
Группа опер. поддержки в г.Пермь   ;MO2A
"ККО ""Краснодарский  ЛС-1""          ";MO2C
"ККО ""Краснодарский  ЛС-2""          ";MO2D
"ДО ""БЕЛОРУССКАЯ""                   ";MO2B
"ОО ""Морской бриз"" АО ""АЛЬФА-БАНК""  ";ROBR
"ККО ""Екатеринбургский ЛС-5""        ";MO2E
"ККО ""Казанский ЛС-5""               ";MO2F
"ККО ""СУРГУТ-ФЛАГМАНСКИЙ            ";MO2G
"ККО ""Краснодарский  ЛС-3""          ";MO2H
"ККО ""Краснодарский  ЛС-4""          ";MO2I
"ОО ""СИНЕРГИЯ""                      ";EKSI
"ДО ""УЛИЦА УРАЛЬСКАЯ""               ";MO2K
"ДО ""Московский ЛС-6""               ";MO2J
ДО Римский                         ;MO2M
ДО Площадь Ильича                  ;MO2L
ДО НОВОЯСЕНЕВСКИЙ ПРОСПЕКТ         ;MO2N
"ДО ""ЯСЕНЕВО""                       ";MO2O
"ККО ""ЕКАТЕРИНБУРГ-ТОПАЗ""           ";MO2P
Группа опер. поддержки в г.Омске   ;MO2Q
"ДО ""ТАГАНСКИЙ""                     ";MO2R
"ДО ""МАРКСИСТСКИЙ""                  ";MO2S
Санкт-Петербург-Гумилевский        ;MO2T
"операционный офис ""КЦ-Мурманск""    ";PTKM
"ДО ""АВИЛОН БЕЛАЯ ДАЧА""             ";MO2U
"ДО ""АВИЛОН БЕЛАЯ ДАЧА 1""           ";MO2V
"ДО ""МЕРКУРИЙ-СИТИ""                 ";MO2W
"ККО ""НОВОСИБИРСК-ПЛОЩАДЬ ЛЕНИНА""   ";MO2X
"ОО ""ЮЖНЫЙ""                         ";MO2Y
Санкт-Петербург-Крестовский остров ;MO2Z
"ОО ""Якутский""                      ";XBYA
"ДО ""ПАРК КУЛЬТУРЫ""                 ";MO22
"ДО ""ТИМУРА ФРУНЗЕ""                 ";MO29
"ОО ""ТТС. Набережные Челны""         ";NZZP
"ОО ""ТТС. Уфа 1""                    ";NZZQ
"ОО ""ТТС. Казань ТЦ 1""              ";NZZR
"ОО ""ТТС. Казань ТЦ""                ";NZZS
"ОО ""ТТС. Казань""                   ";NZZT
"ОО ""ТТС. Казань ФВ""                ";NZZU
"Бэк- офис ""Абакан""                 ";ZPA2
"ДОПОЛНИТЕЛЬНЫЙ ОФИС ""АВИАПАРК""     ";MO23
ДО  УЛИЦА АВИАКОНСТРУКТОРА МИКОЯНАџ;MO24
Операционный офис  КЦ-Ульяновск    ;NZZV
"ДО ""КЛЮЧАВТО ВОЛОКОЛАМСКОЕ ШОССЕ""  ";MO26
"ДО ""КЛЮЧАВТО ЛЮБЕРЦЫ""              ";MO25
Бэк-офис Санкт-Петербург           ;ZPF5
ККО  МАГНИТОГОРСКИЙ ЛС-1џ          ;MO45
ЛЦ Новосибирск                     ;MO47
"ДО ""МОСКОВСКИЙ ЛС-7"" в г. Мытищи   ";MO46
"ОО ""ЖУРАВЛИ""                       ";NZZW
"ОО ""ТТС Набережные Челны Хендай""   ";NZZX
"ОО ""ТТС,Набережные Челны БМВ""      ";NZZY
"ДО ""АЛЬФА PRIVATE Денежный""        ";MO48
ЛЦ Санкт-Петербург                 ;MO27
ЛЦ Екатеринбург                    ;MO3A
"ДО ""ЧЕМПИОНСКИЙ""                   ";MO28
"ОО ""ТТС. КАЗАНЬ 1""                 ";NZAA
"ОО ""ТТС. КАЗАНЬ ФВ1""               ";NZAB
"ОО ""ТТС. КАЗАНЬ МБ""                ";NZAC
"ДО ""АВТОМИР-МАРЬИНО""               ";MO3B
ЛЦ Ростов-на-Дону                  ;MO3K
ЛЦ Волгоград                       ;MO3L
Группа ОП в г. Ростов-на-Дону      ;MO3M
Бэк-офис Ангарск                   ;ZPA3
Бэк-офис Архангенльск              ;ZPA4
Бэк-офис Барнаул                   ;ZPA5
Бэк-офис Белгород                  ;ZPA6
Бэк-офис Бузулук                   ;ZPA7
Бэк-офис Владивосток               ;ZPA8
Бэк-офис Волгоград                 ;ZPA9
Бэк-офис Воронеж                   ;ZPB2
Бэк-офис Екатеринбург              ;ZPB3
Бэк-офис Ижевск                    ;ZPB4
Бэк-офис Иркутск                   ;ZPB5
Бэк-офис Казань                    ;ZPB6
Бэк-офис Калининград               ;ZPB7
Бэк-офис Калуга                    ;ZPB8
Бэк-офис Каменск-Уральский         ;ZPB9
Бэк-офис Кумерово                  ;ZPC2
Бэк-офис Комсомольск-на-Амуре      ;ZPC3
Бэк-офис Краснодар                 ;ZPC4
Бэк-офис Красноярск                ;ZPC5
Бэк-офис Курган                    ;ZPC6
Бэк-офис Курск                     ;ZPC7
Бэк-офис Липецк                    ;ZPC8
Бэк-офис Магнитогорск              ;ZPC9
Бэк-офис Москва                    ;ZPD2
Бэк-офис Мурманск                  ;ZPD3
Бэк-офис Набережные Челны          ;ZPD4
Бэк-офис Новороссийск              ;ZPD5
Бэк-офис Нижневартовск             ;ZPD6
Бэк-офис Нижний Новгород           ;ZPD7
Бэк-офис Нижний Тагил              ;ZPD8
Бэк-офис Новокузнецк               ;ZPD9
Бэк-офис Новосибирск               ;ZPE2
Бэк-офис Омск                      ;ZPE3
Бэк-офис Оренбург                  ;ZPE4
Бэк-офис Орск                      ;ZPE5
Бэк-офис Пенза                     ;ZPE6
Бэк-офис Пермь                     ;ZPE7
Бэк-офис Петрозаводск              ;ZPE8
Бэк-офис Псков                     ;ZPE9
Бэк-офис Ростов-на-Дону            ;ZPF2
Бэк-офис Рязань                    ;ZPF3
Бэк-офис Самара                    ;ZPF4
Бэк-офис Саратов                   ;ZPF6
Бэк-офис Сочи                      ;ZPF7
Бэк-офис Ставрополь                ;ZPF8
Бэк-офис  Сургут                   ;ZPF9
Бэк-офис Сызрань                   ;ZPI2
Бэк-офис Тверь                     ;ZPG2
Бэк-офис Тольятти                  ;ZPG3
Бэк-офис Томск                     ;ZPG4
Бэк-офис Тула                      ;ZPG5
Бэк-офис Тюмень                    ;ZPG6
Бэк-офис Ульяновск                 ;ZPG7
Бэк-офис Уфа                       ;ZPG8
Бэк-офис Хабаровск                 ;ZPG9
Бэк-офис Чебоксары                 ;ZPH2
Бэк-офис Челябинск                 ;ZPH3
Бэк-офис Южно-Сахалинск            ;ZPH4
Бэк-офис Якутск                    ;ZPH5
Бэк-офис Ярославль                 ;ZPH6
"ДО ""АЛЬФА PRIVATE ЛОБАЧЕВСКИЙ""     ";MO3N
ЛЦ Пермь                           ;MO3C
ЛЦ Челябинск                       ;MO3D
ЛЦ Нижний Новгород                 ;MO3E
ЛЦ Красноярск                      ;MO3F
ЛЦ Краснодар                       ;MO3G
ЛЦ Самара                          ;MO3H
ЛЦ Уфа                             ;MO3I
ЛЦ Омск                            ;MO3J
ЛЦ Казань                          ;LCKZ
"ДО ""СЕВЕН САНС МОСКВА""             ";MO3O
ЛЦ Тюмень                          ;LCAA
ЛЦ Барнаул                         ;LCAB
ЛЦ Саратов                         ;LCAC
ЛЦ Сургут                          ;LCAD
ЛЦ Оренбург                        ;LCAE
"ОО ""ТТС. Уфа 2""                    ";NZAD
"ОО ""ТТС. Чебоксары""                ";NZAE
"ДО ""ЯКИМАНКА""                      ";MO3P
ЛЦ Воронеж                         ;LCAF
Техническое отделение Онлайнбух    ;WA96
ЛЦ Иркутск                         ;LCAG
